id,Country,year,indexreg,sdg1_wpc,sdg1_lmicpov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_pestexp,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_impslav,sdg8_empop,sdg8_yneet,sdg9_roads,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_uni,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg11_walkable,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_justice,sdg16_admin,sdg16_exprop,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofits,sdg17_statperf
MYS,Malaysia,2000,East & South Asia,,,,,20,,7,2.46,3,1,,,40,5,10,75,0,23,,27,73,,97,96,48,,,,,,98,88,97,,,,,,89,56,10,,97,97,3,,,93,66,99,98,1.78,3,,,,3,,0,,,,,21,,,,0,0,,1,,,,,,,18,98,,,,,,,,31.67,17,,,6,,,,10,,8,34,1,,23,22,1,,,2,,,,,,,,,,,,7,,17,,,,
MYS,Malaysia,2001,East & South Asia,,,,3,19,,8,2.45,3,1,,,36,5,9,72,0,22,,25,,,97,95,,,,,,,98,85,,,,,,,89,,10,,97,97,3,,,93,66,99,98,1.89,3,,,,4,,0,,,,,27,,,,0,,,1,,,,,,,,98,,,,,,,,31.75,17,,,6,,,,10,,10,33,1,,23,22,1,,,2,,,,,,,,,,,,9,,23,,,,
MYS,Malaysia,2002,East & South Asia,,,,3,19,,8,2.46,3,1,,,36,5,9,68,0,21,,25,,13,97,94,,,,,,,97,84,,,,,,,89,,10,,97,97,3,,,93,66,99,98,1.80,3,,,,3,,0,,,,,32,,,,0,1,,1,,,,,,,,98,,,,,,,,33.50,20,,,6,,,,10,,10,35,1,,23,22,1,,,2,,,,,,,,,,,,9,,22,,,,
MYS,Malaysia,2003,East & South Asia,,,,3,18,,8,2.45,3,1,,,32,4,9,73,0,22,,26,,13,98,93,,,,,,,97,94,,,,,,,89,,10,,97,97,3,,,93,66,99,98,1.97,2,,,,4,,0,,,,,35,,,,0,,,1,,,46,3,,,,98,,,,,,,,34.16,17,,,6,,,,10,,10,34,1,,23,22,1,,,2,,,,,,,,,,,,9,,22,,,,
MYS,Malaysia,2004,East & South Asia,,,,3,18,,9,2.44,3,1,,,33,4,8,68,0,21,,25,,13,98,95,,,,,,,99,90,,,,,,,89,,9,,97,98,3,,,93,66,99,98,2.10,2,,,,4,,0,,,,,42,,,,0,1,,1,,43,,,,,,99,,,,,,,,36.57,17,,,7,,,,11,,9,34,1,,23,22,1,,,2,,,,,,,,,,,172,7,,21,,,,
MYS,Malaysia,2005,East & South Asia,,,,3,18,,9,2.43,3,1,,,32,4,8,69,0,20,,25,,12,98,96,64,,,,,,100,86,,,,,,,89,,9,,97,98,3,,,93,67,99,98,2.12,2,,,,4,,0,,,,,49,,,,0,,,1,,,,,,,19,99,,,,,,,,35.17,17,,,7,,,,13,,8,31,1,,25,26,1,,,2,37,,,,,,,,,,139,7,,20,,,,
MYS,Malaysia,2006,East & South Asia,,,,3,18,13,10,2.44,3,1,,,32,4,8,70,0,20,,25,,12,98,95,,6,,,,,95,87,,,,,,,91,,9,,97,98,3,,,93,67,99,98,1.94,3,,,,3,,0,,,,,52,,,,0,1,,1,,46,45,2,,,,99,58,,,,,,,34.36,17,,,7,,,,13,,10,30,1,,25,26,1,,,2,,53,,,,,,,,,162,6,,21,,,,
MYS,Malaysia,2007,East & South Asia,,,,4,18,,10,2.43,4,1,,,28,4,8,69,0,20,,24,,11,99,95,,6,,,,,95,87,,,,,,,92,,10,,97,98,3,,,93,67,99,98,1.85,2,,,,3,,0,,,,,56,0,,,0,,,1,,42,,,,,,99,69,,,,,,,35.30,18,,,7,,,,13,,14,29,1,,27,26,1,,,2,,54,,,,,,,,,188,6,,21,,,,
MYS,Malaysia,2008,East & South Asia,,,,4,18,,11,2.42,4,1,,,30,4,8,72,0,20,,25,,13,99,95,,6,,,,,95,87,,,,,,,93,,11,,97,98,3,,,93,68,99,98,2.03,3,,,,3,,0,,,,,56,1,,,0,1,,1,,42,46,2,,,,99,74,,,,,,,35.10,17,,,7,,,,13,,18,29,1,,28,26,1,,,2,,53,,,,,,,,,145,6,,21,,,,
MYS,Malaysia,2009,East & South Asia,,,,4,18,,12,2.43,4,1,,,30,4,8,72,0,20,,25,,14,99,95,,5,,,,,96,85,,,,,43,,94,,10,,97,99,3,,,93,68,99,98,1.66,2,,,,4,,0,,,,,56,4,,,0,1,,1,,42,,,,,,99,76,,,,,,,32.02,16,,,7,,,,13,,22,29,1,,28,26,1,,,2,,49,,,,,,,,,,8,,22,,,,
MYS,Malaysia,2010,East & South Asia,1,3,,3,17,,12,2.43,4,1,,,25,4,8,75,0,19,,25,74,14,99,95,68,6,,,,86,96,85,98,,,,,,94,,10,,97,99,3,,,93,69,99,98,1.66,2,,,,3,,0,,,,,56,9,4,,1,1,,1,,42,,,,,18,99,71,,,,,,,34.29,16,,,8,1,,,16,,23,29,1,,32,32,1,,,2,27,41,,,,,,,,,136,7,,19,,,,
MYS,Malaysia,2011,East & South Asia,1,2,,3,17,,13,2.41,4,1,,,24,4,8,80,0,19,,25,,14,99,95,,6,,,,,97,85,,,,,,,95,,10,,97,99,3,,,93,70,99,98,1.62,2,,,66,3,,0,,,,,61,11,,,1,1,,0,,42,44,2,,,19,99,67,,,,,,,35.26,16,,,7,1,,,16,,24,29,1,,32,32,1,,,2,,46,,,,,,,,,,8,,20,,,,
MYS,Malaysia,2012,East & South Asia,1,1,,3,18,,13,2.42,4,1,,,24,4,8,86,0,18,,25,,13,99,95,,6,,,,,99,86,,,413,,46,,96,,10,,97,99,3,,,93,71,100,97,1.62,2,,,,3,,0,,,,,66,12,3,,1,1,,1,,45,,,,,19,99,61,,,,,,,35.40,18,,,7,1,,,16,68,23,29,1,,32,32,1,,,2,,45,,49,,,,,1,0,126,8,,21,,,,
MYS,Malaysia,2013,East & South Asia,1,1,,4,18,,14,2.42,4,1,,,23,4,8,91,0,17,,24,,13,99,95,,6,,,,,100,83,,,,,,,96,63,10,,97,99,3,,,93,72,100,97,1.71,3,,,,3,,0,,,,,57,58,,,1,,,1,,,41,2,,,17,99,56,,,,,,,34.90,18,,,8,1,,,18,67,22,29,1,,35,32,1,,,2,23,42,,50,,,57,,1,0,133,7,,21,,,,
MYS,Malaysia,2014,East & South Asia,1,1,,4,19,,14,2.38,3,1,,,23,4,8,93,0,18,,23,,13,99,94,,6,,,,,100,84,,,,,,,97,64,10,,97,100,3,,,94,73,100,97,1.67,3,,,81,3,0.54,0,,,,,64,58,4,,1,1,,1,,,,,,,17,99,62,,,1,,,,35.40,17,,,8,1,,,18,63,24,29,1,,36,32,1,,,2,,48,,52,,0,57,0,0,0,161,7,,20,,,,
MYS,Malaysia,2015,East & South Asia,1,1,,4,19,8,15,2.37,4,1,,,22,4,8,90,0,18,,23,75,12,99,93,73,6,,,,,100,86,,,,,,,98,65,10,,97,100,3,,,94,73,100,97,1.59,3,,,,3,0.50,0,,,,,71,89,,,1,1,,1,,39,41,2,,,17,99,67,,,,10,,,33.34,15,,,8,1,,,20,63,25,29,1,,37,32,1,2,,2,26,44,,50,,,57,1,1,0,169,7,,19,,,,
MYS,Malaysia,2016,East & South Asia,1,1,,4,20,12,16,2.37,4,1,,,22,4,8,94,0,18,,24,,10,100,93,,,,,,89,100,83,98,,,,,,98,65,10,,97,100,3,,,94,74,100,97,1.62,4,,,,3,,0,,,,,79,91,3,0,1,1,,1,,,,,,,16,99,,,,,10,,,32.77,15,7,,8,1,,,20,63,26,29,1,,37,32,1,,,1,29,,,49,,,53,,,,169,7,,17,,,4,62
MYS,Malaysia,2017,East & South Asia,1,1,,3,20,,,2.36,4,0,,,22,4,8,94,0,18,,23,,9,100,93,75,,,,,93,100,83,97,,,,,,98,66,10,,97,100,3,,,94,76,100,97,1.51,5,,,85,3,0.57,0,,,,,80,110,,23,1,,,0,,,,,,,16,99,,,,,10,,,31.97,16,,,8,1,,,20,63,24,29,1,,37,32,1,,,1,27,,,47,,,53,1,0,0,176,7,,16,,,4,65
